Date,Open,High,Low,Close,"Adj Close",Volume,MA_50,BB_middle,BB_std,BB_upper,BB_lower,RSI
"2023-03-10 00:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 01:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 02:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 03:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 04:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 05:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 06:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 07:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 08:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 09:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 10:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 11:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 12:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 13:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 14:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 15:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 16:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 17:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 18:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 19:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 20:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 21:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 22:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-10 23:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-11 00:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
"2023-03-11 01:00:00",433,437.799988,430.799988,435.850006,434.495819,10417015,435.850006,435.850006,NULL,NULL,NULL,NULL
